Central,Upwind,Hybrid,Power Law,Analytical
1.0,1.0,1.0,1.0,1.0
1.0000000001992633,0.9999999999998903,1.0,1.0,1.0
0.9999999995445411,0.9999999999993692,1.0,1.0,1.0
1.0000000016957715,0.9999999999968943,1.0,1.0,1.0
0.9999999946274436,0.9999999999851388,1.0,1.0,1.0
1.0000000178519493,0.9999999999293003,1.0,1.0,1.0
0.9999999415428593,0.9999999996640676,1.0,0.9999999999999998,1.0
1.0000001922727262,0.999999998404212,1.0,0.9999999999999998,1.0
0.9999993684460198,0.9999999924198986,1.0,0.9999999999999998,1.0
1.0000020753051986,0.9999999639944092,1.0,0.9999999999999999,1.0
0.9999931813393254,0.9999998289733341,1.0,0.9999999999999999,1.0
1.0000224043700512,0.9999991876232273,1.0,0.9999999999999964,0.9999999999999978
0.9999263858405236,0.9999961412102195,1.0,0.9999999999998568,0.9999999999999064
1.0002418752946851,0.9999816707484322,1.0,0.9999999999942292,0.9999999999960211
0.9992052670881546,0.9999129360549417,1.0,0.9999999997673122,0.9999999998308102
1.0026112654810404,0.9995864462608616,1.0,0.9999999906176589,0.9999999928058669
0.991420127904415,0.9980356197389817,1.0,0.9999996216889976,0.9999996940976795
1.0281910085133266,0.9906691937600527,1.0,0.9999847458950876,0.9999869927023459
0.9073724007983315,0.9556786703601392,1.0,0.999384930083363,0.9994469156298522
1.3043478261476016,0.7894736842105499,1.0,0.9751993968493313,0.9764822541439909
0.0,0.0,0.0,0.0,0.0
